Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Canada,Price / Canada,Compare At Price / Canada,Included / United States,Price / United States,Compare At Price / United States,Status
yamaha-pac611hfm-pacifica-electric-guitar,Yamaha PAC611HFM Pacifica Electric Guitar,"<p>First launched in 1990, the Pacifica series was driven by the California session scene of the day-where versatility, performance and individuality were key. Inspired by those custom-shop guitars, and that original version, PAC611HFM is today's embodiment of the Pacifica concept.</p>
<p><strong>Specs:</strong><br></p>
<ul>
<li>Construction: Bolt-On</li>
<li>Scale Length: 25 1/2"" (648mm)</li>
<li>Fingerboard: Rosewood</li>
<li>Radius: 13 3/4"" (350mm)</li>
<li>Frets: 22</li>
<li>Body: Alder, with Flame Maple Top (Translucent finishes)</li>
<li>Neck: Maple (Tinted Finish)</li>
<li>Tuners: Grover Locking Tuner</li>
<li>Bridge: Hardtail Bridge with Graph Tech String Saver Saddle</li>
<li>Pickups: Seymour Duncan SP90-1n, Custom 5</li>
<li>Pickup Switch: 3 position lever</li>
<li>Controls: Master Volume, Master Tone (Push-Pull Coil Split)</li>
</ul>",Yamaha,,Guitars,"Electric Guitars, In Stock. Ready to Ship.",true,Color:,Light Amber Burst LAB,,,,,PAC611HFM LAB,11339.80925,shopify,continue,manual,899.99,,true,true,086792969060,https://cdn.shopify.com/s/files/1/0518/4507/1030/products/yamaha-pac611hfm-pacifica-electric-guitar-2.jpg?v=1633372080,1,Yamaha PAC611HFM Pacifica Electric Guitar,false,Yamaha PAC611HFM Pacifica Electric Guitar | Electric Guitars | Canada’s Music Store | Canadian Source for Instruments Online | All You Need Music,"Yamaha PAC611HFM Pacifica Electric Guitar Shop at All You Need Music, Canada's Best Music Store! FREE Shipping. Yamaha Canadian Dealer.  Canadian Price Match Guarantee.",,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0518/4507/1030/products/yamaha-pac611hfm-pacifica-electric-guitar-2.jpg?v=1633372080,lb,,585.00,true,,,true,,,active
yamaha-pac611hfm-pacifica-electric-guitar,,,,,,,,,Root Beer finish RTB,,,,,PAC611HFM RTB,11339.80925,shopify,continue,manual,899.99,,true,true,4957812500159,https://cdn.shopify.com/s/files/1/0518/4507/1030/products/yamaha-pac611hfm-pacifica-electric-guitar.jpg?v=1633372080,2,Yamaha PAC611HFM Pacifica Electric Guitar,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0518/4507/1030/products/yamaha-pac611hfm-pacifica-electric-guitar.jpg?v=1633372080,lb,,585.00,,,,,,,
